address,toursEntered,eplTours,wcTours,bestRank,podiums,topTen,prizesWon,prizeMOVE,prizeUSDCx,unclaimedMOVE,unclaimedUSDCx,bracketPrediction
0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,13,7,6,1,7,11,11,2019.135,31.68,0,6,yes
0xf40a44a4b6886c9de4919a51bbc6dbe626cf2e0e39d340f64570991d4d934973,9,3,6,2,4,6,6,2740,18.88,0,0,yes
0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,8,3,5,4,0,7,7,2054,15.165,0,0,yes
0xd0da68c3aa098c1e247f7fbdf0b7a2e4db40d195b48effa9d90a1c821f5bb44d,7,2,5,1,3,6,6,3675,23.32,0,3,yes
0x1edde68e12c62c1cd1dcf96ccd48f4f985d90d48966076a790555f5a1a79fd6d,7,3,4,2,2,4,4,0,15.925,0,0,yes
0xc9fee485c0aeac178dfb658036de0b035c23d6d61dee3bec71c819b1ce5e5546,5,5,0,2,1,3,3,943.48,0,0,0,
0xd66aef5cf296e552bdff502f70ae38a0564ba493f0d9ef7b2e8ec2b515238be,5,2,3,8,0,2,2,0,3.2,0,0,yes
0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,4,2,2,1,2,2,2,7335,6,0,0,yes
0x88c012b4252df65c7c0aabba3fc7540e149e9fdbe994f741a6ea17c60b5a5e20,4,0,4,1,2,4,4,0,46.22,0,0,yes
0x37719f2bb545be3163b2520bb5d497c3bb64a39efe4baec39f8a69adbaadbd71,4,4,0,2,1,1,1,210,0,0,0,
0x9c65963eb8f79c29301a5585416730bff7e0172cd7fcea343a408d15353cc038,4,2,2,2,2,3,3,8055,22.2,0,0,yes
0x5b3c8876546baa0b2581f0e608f53eb5a9268d1192dc553504ba22b5d89228d9,4,4,0,3,1,1,1,157.5,0,0,0,
0x846b014b991685b7dd03cc0e6437540b2f78ebee431d2881ca6e8809afca2d82,4,4,0,4,0,1,1,84,0,0,0,
0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,4,3,1,4,0,2,2,2846.5,0,0,0,yes
0x4d0ff5a7b2dee7ee7501c080a335f98c7055760a9a58d69a085d04ea5f08f0ca,4,4,0,5,0,1,1,73.5,0,0,0,
0xc9f5444ab989c2a7ef73b1eab58b66947c4c5788e25d997d649c7d6ddfbeb5a1,4,4,0,6,0,2,2,2437.5,0,0,0,
0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,4,3,1,6,0,1,1,0,4.725,0,0,yes
0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,4,4,0,10,0,1,1,163,0,0,0,
0x872cc86f8742ccc256458512a1eb492ce64bda4082f518ec4bd8607ee2bb8341,4,3,1,12,0,0,0,0,0,0,0,yes
0xf598f059a0353b0d9ea80c9fd9d1c3e15b71ff4535388dd79acf813b567c5b47,3,3,0,1,2,2,2,0.84,0,0,0,
0xfc54c423ee9392734910b5e86d370c52d91f7bc6a8ae6b89070cba2c12889176,3,2,1,1,1,1,1,315,0,0,0,
0x563fe60414c832e731dcbe7737e7e2e660dcbbf016e0ea9c1f740ecc2cfe85cd,3,3,0,1,1,1,1,4110,0,0,0,
0x12230bfedb28f7ef009735f04aa3aee74b9dccad19d6b61090bc7126a8139ff7,3,2,1,3,1,1,1,0,15.75,0,0,yes
0xe3f0b1b945c05502577ac9b25ec8ec7aa606c925798894ae38f3443679449252,3,1,2,4,0,1,1,0,2.72,0,0,yes
0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,3,3,0,6,0,1,1,1467,0,0,0,
0x40330fd132ce25ec2e74130050f1d6338fbde2c3853c0be7247de84150e49794,3,2,1,6,0,1,1,0,2.24,0,0,
0x1aab89575bf156fcfa510d3d081b54d92d10d887fca2aa1db24eafe07182e3d6,3,3,0,7,0,1,1,1812.375,0,0,0,
0x69f79da1d1c4294825835c3df5b0314ee3235c37d4e5b8b11a9cbed1c0b2735c,3,3,0,7,0,1,1,685,0,0,0,
0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,3,3,0,8,0,1,1,855.75,0,855.75,0,
0xb361989db2be8eba407f473a33ec95c0f7c08b3d087847eaa37ab4c1470bac6c,3,3,0,12,0,0,0,0,0,0,0,
0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,3,3,0,13,0,0,0,0,0,0,0,
0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,3,3,0,13,0,0,0,0,0,0,0,
0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,3,3,0,15,0,0,0,0,0,0,0,
0xed6d8442443970f0fc55db46a10d86a69a6d2ff710bdd90280befe6c2ab6964c,3,3,0,16,0,0,0,0,0,0,0,
0x52594ce8666b354e83220c2056ae4b399a444b30b0d8236bccfc2dde8efeb6e9,3,3,0,17,0,0,0,0,0,0,0,
0x4570ad0cae56eaa3f1fc701e8875163f65d90e384174c2e33657e1a9b94eb024,3,3,0,18,0,0,0,0,0,0,0,
0xe5ec7135eb03d8e93bdc45789322bb97a9bba197852fd50e2e1462a98abb3969,3,3,0,19,0,0,0,0,0,0,0,
0xe74017e048d5a729eeb91e0b109777e0b68a9aff697f52ebb12adbbd4d2f7f90,3,3,0,24,0,0,0,0,0,0,0,
0x50b55a0b8465b63add70677ade0dfc5d6a16fd6fe1080e07e268d68d10df8a1d,3,3,0,25,0,0,0,0,0,0,0,
0x563074da5101b9e4c61125d53070c12d784bf312d6da080a0c0e037143c498e6,3,3,0,25,0,0,0,0,0,0,0,
0xc0c9f551c38f40cdb0a2dc4873ca5ec9984c5d7b398783c49c9d630253ae18d8,3,3,0,27,0,0,0,0,0,0,0,
0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,3,3,0,33,0,0,0,0,0,0,0,
0xec3399a1742554f5c2f218d4bc9a8eabed01d9ab332d00afe097b1aa1a3d0a3b,3,3,0,33,0,0,0,0,0,0,0,
0xff95c2119acc206d45652de89df951b4beac57591bc16507c971ff11a6ce2e06,3,3,0,36,0,0,0,0,0,0,0,
0x2fdd0712f9ea9da6e61f12e8ded6e9affde199689006ff0593b8e8bf37d98938,3,3,0,36,0,0,0,0,0,0,0,
0x559511a612146c9220983b7cb6deea7641082c2d17e63c5036ea6650faf2fa07,3,3,0,39,0,0,0,0,0,0,0,
0xf41c82e5eb9eb43d70d6e8eae9a0401dc7afb58c5694c433283305cf87b76e77,3,3,0,43,0,0,0,0,0,0,0,
0xc7366701ba2f376644e384ce6e53644d88829087b4fa63c76be6201f32cc9eaa,3,3,0,49,0,0,0,0,0,0,0,
0xd47f3c5c051da20cdf2020ab6797b4c3d787519d2cdca28afc3db64f20d132de,3,3,0,52,0,0,0,0,0,0,0,
0x6196788dfe6cdf1724c9e1b15fd178779c342ff23342c7cc3bb98fbd3bea9e1f,3,3,0,55,0,0,0,0,0,0,0,
0xeecc84cd5a94813dd8c0b132716ad1c680b5610bf31a724c0feb2e1bbd3cb9a0,3,3,0,56,0,0,0,0,0,0,0,
0x99305b504c8b03892c4282ba1b0eb6faeedd8578c7c97daad604f5c496c81cc5,3,3,0,62,0,0,0,0,0,0,0,
0x52b9be2264a4b570321934505aaae33a4869df7eba29ab707b94e023bb95eef2,3,3,0,74,0,0,0,0,0,0,0,
0x60efbedfce53ad5b5e06af5ad244c74700f4a52b44636a0ed97c18984686a662,3,3,0,78,0,0,0,0,0,0,0,
0x925b53ddfdeeeb9f32d3984a63de2b63a685fedc975154ccf550f75815d0351c,3,3,0,79,0,0,0,0,0,0,0,
0x2dab078445460f3824623f9278ed13b71ae3455c27fa8fd435927a32b73eae6b,3,3,0,81,0,0,0,0,0,0,0,
0x35acf806ba687f03990b0a0bd9c3e0e1cf6182831630bf4141cf1d6f5f179a57,3,3,0,85,0,0,0,0,0,0,0,
0xbd410d3172f69fa826ac40a0007b31af814386b090ce3b634752e00165167165,3,3,0,94,0,0,0,0,0,0,0,
0xd6cbef3eb9943a97895192a5fc02700d53c4995aecb09122e24ff67132aaa2f6,3,3,0,103,0,0,0,0,0,0,0,
0x25bfb04137a5ae4880d7eded8049713ffda45cc27933e3ab61ee17c23734a4c7,3,3,0,113,0,0,0,0,0,0,0,
0xcece63924bf6ab28ca59b0f8edac1acced63b7c87753b3216d0a3640b7a5468,3,3,0,113,0,0,0,0,0,0,0,
0xe315ed7f11079d36f1bf9a488a5de89bac2d59f878571dd44a1c2c3e7d655688,2,2,0,2,1,2,2,342.98,0,0,0,
0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,2,2,0,2,1,1,1,4890,0,0,0,
0xcc4aedc5740510f7efec7fa5e4b66643dd8995fde3469b6ffc4d240d05518e6,2,1,1,3,1,2,2,0.36,1.05,0.36,1.05,
0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,2,2,0,3,1,1,1,3667.5,0,0,0,
0xabfc18eb1850a6301f3cc6010de13bd8ff26168a95cfcef09c4061ed50adf967,2,2,0,4,0,1,1,3222,0,0,0,
0x7ad9f5da6ca1ee06741e2294e6541d12be3e9e8fe46c66b31bb6935baff695b2,2,0,2,5,0,2,2,0,9.75,0,0,
0xc6b20dcf3360646c3354a8bdf9c735bbd51bf5b0fd006f7bf2a342250b193d6b,2,0,2,5,0,2,2,0,3.85,0,0,yes
0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,2,2,0,7,0,1,1,1222.5,0,0,0,
0xe7535d5c48151c47737dc261190bcd3c8da9446b519815da4918202c3ed3110c,2,2,0,8,0,1,1,548,0,0,0,
0x5cb3530d52629a8c1be90b11b80b688d589da114d9d5ca50cd605849c683c026,2,2,0,9,0,1,1,1208.25,0,0,0,
0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,2,2,0,10,0,1,1,163,0,0,0,
0xbe2d7a5792c435b0caad453a27e39e4e4f52031f4134b688624f44f38f018ea6,2,2,0,13,0,0,0,0,0,0,0,
0xa493854763ebd52e9d332b6a4d5536adc0868ad748f91b2816014c2b4697c0c0,2,2,0,14,0,0,0,0,0,0,0,
0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,2,2,0,15,0,0,0,0,0,0,0,
0x51328877e78740ce6e04d05233d6e40d711b653ae0e865faed727549b61b6914,2,2,0,16,0,0,0,0,0,0,0,
0xef77e98e81ebe4228d7ef6e0c5db62ac16e37d3b7687362d67e9bb9aa922c2ca,2,2,0,16,0,0,0,0,0,0,0,
0x2dd04cba72612d31aab8b6168a2f3fb040ee7165cab230e7cc34c2506ca947a3,2,2,0,17,0,0,0,0,0,0,0,
0xc21a182c6d094d6c5e8ea2f4c4452284a81db1c58c1388092c7d170205de0af6,2,2,0,17,0,0,0,0,0,0,0,
0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,2,2,0,19,0,0,0,0,0,0,0,
0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,2,2,0,24,0,0,0,0,0,0,0,
0x5270c3b336dbc50eef0ea45c36f14584377b53ec3a52c58f2d07c96f12f930dc,2,2,0,28,0,0,0,0,0,0,0,
0x61afb3d1fee54e5f510991599493f69b0fef9db63584e27192855e8c3097c035,2,2,0,31,0,0,0,0,0,0,0,
0xa7396fa5b476a6c542407aa86d6a8dc4abd3cf347bf7d2a3ed2a68d294d5f0ce,2,2,0,32,0,0,0,0,0,0,0,
0xcb1b7ac9733ebb4609c97dadabd3784c655c45ecb29b60cf0deb3ae19e883b22,2,2,0,34,0,0,0,0,0,0,0,
0x31613a860e45130f36afbc842c9aaf6c5447d658ef200298753c6b0572fdd59d,2,2,0,36,0,0,0,0,0,0,0,
0xdd6e936d97fc4c41cc256e5263b1f7cca7887c806030c2de19998c14f948e21,2,2,0,39,0,0,0,0,0,0,0,
0xa7241b0c41a307309886d61784cb8f85a0aacbd55ac847314275c15733580a6f,2,2,0,41,0,0,0,0,0,0,0,
0x356fd42f638dca5b70022d6d667395f29ec119cad0e8c56ccb2905990b41d7d1,2,2,0,43,0,0,0,0,0,0,0,
0x77bde9d601c3cc6d21367d58278ea898e60b3e5d8f6205812e217e4a8c3faf81,2,2,0,43,0,0,0,0,0,0,0,
0x32ace94e0342f9594b5c6adc772fe1344903b9e797b1d9b0e3c41074f77a3adc,2,2,0,56,0,0,0,0,0,0,0,
0xf994d9f0bf5cab2df99f92c1b56891e7ce084910da7339caeec0c532f2a0fca9,2,2,0,59,0,0,0,0,0,0,0,
0x5e698caecfec6e3923289f4f7b25dbd35cf232363c43c40b1515128ce56a11bc,2,2,0,59,0,0,0,0,0,0,0,
0x56970332a896a0c247355bf45a55e2b54bb1a1dbf836658143fc9af63f12b27b,2,2,0,62,0,0,0,0,0,0,0,
0xba327a86d02addbce63adc0a02810cb0f28571b10e3c9f0996db297214a0cb14,2,2,0,64,0,0,0,0,0,0,0,
0x397952de3c7a5b8772248c0d0761f6a420edd135fda43c44cb735a0237deac37,2,2,0,72,0,0,0,0,0,0,0,
0x7ffff878e9c660724d33d2997752815fbddc04d22869b52e533f131424451cb7,2,2,0,77,0,0,0,0,0,0,0,
0xc07adbc00d6eab921e7a11d23e8cfbf0d4f496905c849a8c004ac0782eb50c20,2,2,0,78,0,0,0,0,0,0,0,
0x7cf5958982a4eaca19a2e77973cd31a44cad3c9dfef1bc0d290cfcc03f994ac1,2,2,0,79,0,0,0,0,0,0,0,
0x5c7aeeee78656be5f9775d429ecef99d6ac8a607797030647c2db684f533e4cb,2,2,0,83,0,0,0,0,0,0,0,
0x91e5e605a1c3c82b80dcceaaba4c3345203c1ccc520c77548564ba5e3b3ed047,2,2,0,95,0,0,0,0,0,0,0,
0x8a981c694fea7de5d9c49eb6eae6a15411f68faad6a0179929dc16e42cccde28,2,2,0,97,0,0,0,0,0,0,0,
