Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,1,Raya (ARS),Raya (ARS),6
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,2,Gabriel (ARS),Gabriel (ARS),6
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,3,Saliba (ARS),Saliba (ARS),8
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,4,Bassey (FUL),Bassey (FUL),2
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,5,Tete (FUL),Tete (FUL),0
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,6,Reed (FUL),Szoboszlai (LIV),9
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,7,B.Fernandes (MUN),B.Fernandes (MUN),9
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,8,Mbeumo (MUN),Mbeumo (MUN),7
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,9,Haaland (MCI),Haaland (MCI),0
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,10,Watkins (AVL),Watkins (AVL),17
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,11,Beto (EVE),Beto (EVE),2
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,Лава1,Szoboszlai (LIV),Szoboszlai (LIV),9
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,Лава2,Cherki (MCI),Cherki (MCI),0
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,Лава3,Doku (MCI),Doku (MCI),0
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,1,Raya (ARS),Raya (ARS),6
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,2,Gabriel (ARS),Gabriel (ARS),6
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,3,Senesi (BOU),Senesi (BOU),0
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,4,Guéhi (MCI),Guéhi (MCI),0
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,5,Saliba (ARS),Saliba (ARS),8
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,6,B.Fernandes (MUN),B.Fernandes (MUN),9
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,7,Doku (MCI),Anderson (NFO),10
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,8,Dewsbury-Hall (EVE),Dewsbury-Hall (EVE),2
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,9,Haaland (MCI),Haaland (MCI),0
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,10,Watkins (AVL),Watkins (AVL),17
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,11,Calvert-Lewin (LEE),Calvert-Lewin (LEE),8
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,Лава1,Anderson (NFO),Anderson (NFO),10
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,Лава2,Casemiro (MUN),Casemiro (MUN),1
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,Лава3,Rayan (BOU),Rayan (BOU),0
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,1,Raya (ARS),Raya (ARS),6
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,2,Gabriel (ARS),Gabriel (ARS),6
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,3,Saliba (ARS),Saliba (ARS),8
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,4,Maguire (MUN),Maguire (MUN),1
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,5,Mazraoui (MUN),Mazraoui (MUN),0
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,6,Rogers (AVL),Rogers (AVL),12
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,7,Foden (MCI),B.Fernandes (MUN),9
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,8,Semenyo (MCI),Semenyo (MCI),0
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,9,Watkins (AVL),Watkins (AVL),17
