Місце,Preview_pts,Адреса,Слот1_зараховано,Слот2_зараховано,Слот3_зараховано,Слот4_зараховано,Слот5_зараховано,Слот6_зараховано,Слот7_зараховано,Слот8_зараховано,Слот9_зараховано,Слот10_зараховано,Слот11_зараховано,Лава1,Лава2,Лава3
1,66,0x52b001f448fb5b1a3fd0e37ebbf107258dc2a47a06080bcdc39852cb59a1d260,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Bassey (FUL) · 2 очк.,Tete (FUL) · 0 очк.,Szoboszlai (LIV) · 9 очк. (зам. замість Reed),B.Fernandes (MUN) · 9 очк.,Mbeumo (MUN) · 7 очк.,Haaland (MCI) · 0 очк.,Watkins (AVL) · 17 очк.,Beto (EVE) · 2 очк.,Szoboszlai (LIV),Cherki (MCI),Doku (MCI)
2,66,0x698c5644a8ab25a2f3f4a8051713e2603092481f9ff4c54cc84967286d870268,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Senesi (BOU) · 0 очк.,Guéhi (MCI) · 0 очк.,Saliba (ARS) · 8 очк.,B.Fernandes (MUN) · 9 очк.,Anderson (NFO) · 10 очк. (зам. замість Doku),Dewsbury-Hall (EVE) · 2 очк.,Haaland (MCI) · 0 очк.,Watkins (AVL) · 17 очк.,Calvert-Lewin (LEE) · 8 очк.,Anderson (NFO),Casemiro (MUN),Rayan (BOU)
3,63,0x30ebd0cdb2b08de200f67089a59048c3c9657eb7bf005a8717aaa9f0554b1307,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Maguire (MUN) · 1 очк.,Mazraoui (MUN) · 0 очк.,Rogers (AVL) · 12 очк.,B.Fernandes (MUN) · 9 очк. (зам. замість Foden),Semenyo (MCI) · 0 очк.,Watkins (AVL) · 17 очк.,Thiago (BRE) · 2 очк.,Bowen (WHU) · 2 очк.,Cherki (MCI),B.Fernandes (MUN),Richarlison (TOT)
4,59,0x77e3d3b82e77b7d66c537cef8d2c56ef05e52384dfa67366026b66d4530e9c80,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Tarkowski (EVE) · 1 очк. (зам. замість O'Reilly),O'Brien (EVE) · 0 очк.,Stach (LEE) · 3 очк. (зам. замість Doku),O.Dango (BRE) · 15 очк.,Wilson (FUL) · 1 очк.,Beto (EVE) · 2 очк. (зам. замість Haaland),Thiago (BRE) · 2 очк.,Osula (NEW) · 15 очк.,Stach (LEE),Tarkowski (EVE),Beto (EVE)
5,59,0xfa01f04208e83dae4520a6e831bb2fb78cb07af954e42ada4e17810ecc1d9db6,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Senesi (BOU) · 0 очк.,Guéhi (MCI) · 0 очк.,Tarkowski (EVE) · 1 очк.,B.Fernandes (MUN) · 9 очк.,Anderson (NFO) · 10 очк. (зам. замість Doku),Dewsbury-Hall (EVE) · 2 очк.,Haaland (MCI) · 0 очк.,Watkins (AVL) · 17 очк.,Calvert-Lewin (LEE) · 8 очк.,Anderson (NFO),Casemiro (MUN),Rayan (BOU)
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,Henderson (CRY) · 0 очк.,Van Hecke (BHA) · 2 очк. (зам. замість O'Reilly),Lacroix (CRY) · 2 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Hinshelwood (BHA) · 3 очк. (зам. замість Cherki),Saka (ARS) · 8 очк.,B.Fernandes (MUN) · 9 очк.,Watkins (AVL) · 17 очк. (зам. замість Haaland),Welbeck (BHA) · 2 очк.,Mateta (CRY) · 1 очк.,Watkins (AVL),Van Hecke (BHA),Hinshelwood (BHA)
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,Donnarumma (MCI) · 0 очк.,Shaw (MUN) · 6 очк.,Maguire (MUN) · 1 очк.,Saliba (ARS) · 8 очк.,Cash (AVL) · 0 очк.,Saka (ARS) · 8 очк. (зам. замість Rodrigo),Rice (ARS) · 3 очк.,B.Fernandes (MUN) · 9 очк.,Watkins (AVL) · 17 очк.,Welbeck (BHA) · 2 очк. (зам. замість Haaland),Bowen (WHU) · 2 очк.,Saka (ARS),M.Salah (LIV),Welbeck (BHA)
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,Raya (ARS) · 6 очк.,Calafiori (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Guéhi (MCI) · 0 очк.,Matheus N. (MCI) · 0 очк.,Ndiaye (EVE) · 2 очк. (зам. замість Bernardo),Caicedo (CHE) · 0 очк.,Wharton (CRY) · 9 очк.,Calvert-Lewin (LEE) · 8 очк.,Welbeck (BHA) · 2 очк. (зам. замість Isak),Watkins (AVL) · 17 очк.,Ndiaye (EVE),Welbeck (BHA),Cucurella (CHE)
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,Lammens (MUN) · 1 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Maguire (MUN) · 1 очк.,Mykolenko (EVE) · 1 очк. (зам. замість O'Reilly),Rogers (AVL) · 12 очк.,Saka (ARS) · 8 очк.,Semenyo (MCI) · 0 очк.,Watkins (AVL) · 17 очк.,Thiago (BRE) · 2 очк. (зам. замість Haaland),Richarlison (TOT) · 0 очк.,Thiago (BRE),Palmer (CHE),Mykolenko (EVE)
10,53,0xfa26c6ccb1bf0aa785439105cde285ff8510d2505c5b603f4b6b183e68270811,Raya (ARS) · 6 очк.,Gabriel (ARS) · 6 очк.,Saliba (ARS) · 8 очк.,Mykolenko (EVE) · 1 очк.,Maguire (MUN) · 1 очк.,B.Fernandes (MUN) · 9 очк.,Schade (BRE) · 1 очк. (зам. замість Doku),Semenyo (MCI) · 0 очк.,Welbeck (BHA) · 2 очк. (зам. замість Haaland),Thiago (BRE) · 2 очк.,Watkins (AVL) · 17 очк.,Tarkowski (EVE),Schade (BRE),Welbeck (BHA)
