file	hint	pred	score	outside	bay_changed	stripe	dark	white	med_r	med_g	med_b
Arsenal_kits_on_locker_hooks_202607270120_2.jpeg	1	14	42.62	10.92	0.5900	53.2	0.129	0.140	133	28	43
Arsenal_kits_on_locker_hooks_202607270120_3.jpeg	1	14	38.52	10.71	0.5459	42.0	0.032	0.100	135	90	89
Arsenal_kits_on_locker_hooks_202607270120.jpeg	1	14	38.44	11.62	0.5587	43.9	0.052	0.133	138	95	94
Arsenal_kits_on_locker_hooks_202607270120_4.jpeg	1	7	37.81	11.21	0.5462	48.2	0.151	0.106	108	103	102
Aston_Villa_kits_on_hooks_202607270120_3.jpeg	2	2	43.76	10.71	0.5982	51.6	0.301	0.036	89	33	48
Aston_Villa_kits_on_hooks_202607270120_4.jpeg	2	17	42.61	10.45	0.5828	45.6	0.045	0.047	84	69	76
Aston_Villa_kits_on_hooks_202607270120_2.jpeg	2	2	41.45	9.15	0.5518	49.4	0.328	0.022	87	31	48
Aston_Villa_kits_on_hooks_202607270120.jpeg	2	2	40.29	10.50	0.5604	46.5	0.153	0.050	93	42	56
AFC_Bournemouth_kits_on_hooks_202607270120_2.jpeg	3	2	41.69	10.19	0.5697	47.1	0.368	0.002	106	37	44
AFC_Bournemouth_kits_on_hooks_202607270120.jpeg	3	14	41.11	10.85	0.5738	45.1	0.276	0.002	125	46	51
AFC_Bournemouth_kits_on_hooks_202607270120_4.jpeg	3	14	39.72	10.69	0.5575	48.4	0.287	0.002	118	46	50
AFC_Bournemouth_kits_on_hooks_202607270120_3.jpeg	3	14	37.56	10.21	0.5287	44.0	0.193	0.005	117	44	48
Brighton_kits_on_locker_hooks_202607270120_3.jpeg	5	7	47.60	10.75	0.6373	30.9	0.088	0.000	52	76	135
Brighton_kits_on_locker_hooks_202607270120_4.jpeg	5	6	44.01	10.71	0.6007	32.0	0.091	0.002	38	66	129
Brighton_kits_on_locker_hooks_202607270120.jpeg	5	7	36.92	10.43	0.5256	35.0	0.023	0.067	66	86	125
Brighton_kits_on_locker_hooks_202607270120_2.jpeg	5	6	36.52	10.22	0.5185	44.6	0.187	0.041	37	62	120
Everton_kits_on_locker_hooks_202607270120_2.jpeg	9	6	44.60	10.59	0.6049	32.5	0.048	0.000	43	63	124
Everton_kits_on_locker_hooks_202607270120_3.jpeg	9	6	44.43	10.27	0.5983	36.0	0.135	0.000	32	55	117
Everton_kits_on_locker_hooks_202607270120_4.jpeg	9	6	42.73	10.85	0.5900	31.9	0.061	0.000	40	65	125
Everton_kits_on_locker_hooks_202607270120.jpeg	9	6	41.48	9.77	0.5614	39.3	0.226	0.003	32	55	109
Liverpool_kits_on_hooks_202607270120.jpeg	14	17	38.61	9.90	0.5346	46.0	0.521	0.000	77	29	41
